model,manufacturer,prodYear,price,engineVolume,mileage
Prius,TOYOTA,2014,5488,1.8,339710 km
XC90,VOLVO,2013,2509,3.2,169138 km
Santa FE,HYUNDAI,2010,15053,2.2,70338 km
E 300,MERCEDES-BENZ,2017,56136,2,50963 km
GLE 350,MERCEDES-BENZ,2016,1646,3,59099 km
Jetta,VOLKSWAGEN,2014,941,1.8,69248 km
CLA 250,MERCEDES-BENZ,2016,21326,2,34058 km
E 350,MERCEDES-BENZ,2014,31047,3.5,132349 km
Sonata,HYUNDAI,2016,7809,2,503800 km
FIT,HONDA,2003,7213,1.5,240000 km
Prius,TOYOTA,2010,12231,0,0 km
ML 350,MERCEDES-BENZ,2015,470,3.5,82819 km
X6,BMW,2008,42337,3.0 Turbo,160350 km
Orlando,CHEVROLET,2012,21768,2,153561 km
Tacoma,TOYOTA,2013,19130,4,57554 km
Golf 3,VOLKSWAGEN,1995,4200,1.6,12333 km
XV,SUBARU,2014,15681,2,270472 km
Prius,TOYOTA,2012,314,1.8,418667 km
Escape,FORD,2009,13172,2.5,164600 km
FIT,HONDA,2005,40,1.3,143000 km
Sportage EX,KIA,2014,21012,2.4,90000 km
Sonata,HYUNDAI,2015,9722,2,486563 km
640,BMW,2012,51746,3.0 Turbo,190000 km
Grand Cherokee,JEEP,2005,7370,3.7,111111 km
330,BMW,2007,18817,3,143000 km
Captiva,CHEVROLET,2007,5645,2,48524 km
Combo,OPEL,2008,103491,1.3 Turbo,230000 km
Transit Connect,FORD,2004,13799,1.8,223000 km
CT 200h,LEXUS,2012,627,1.8,192683 km
Camry,TOYOTA,2013,21326,2.5,204800 km
ES 350,LEXUS,2015,10192,2.5,40386 km
Grand Cherokee,JEEP,2011,31524,3,199500 km
Elysion,HONDA,2010,18000,2.4,134000 km
Cruze,CHEVROLET,2012,13987,2,180000 km
Cruze,CHEVROLET,2013,13172,1.4 Turbo,147000 km
Outback,SUBARU,2013,23521,2.5,116800 km
Orlando,CHEVROLET,2014,21739,2,177103 km
X5,BMW,2017,862,3,0 km
Fusion,FORD,2014,3058,2,151411 km
Vitz,TOYOTA,2010,9095,1,18000 km
Tiida,NISSAN,2005,7700,1.5,154000 km
REXTON,SSANGYONG,2011,22649,2,131114 km
H1,HYUNDAI,2011,18660,2.5,55248 km
Sonata,HYUNDAI,2015,10663,2,310886 km
RX 450,LEXUS,2010,314,3.5,382746 km
Omega c,OPEL,2001,5175,2.6,20000 km
Legacy,SUBARU,2002,7213,3,187000 km
Optima EX,KIA,2013,16308,2.4,92000 km
Prius,TOYOTA,2013,20071,1.8,56000 km
Santa FE,HYUNDAI,2015,48955,2,80000 km
Elantra Limited,HYUNDAI,2015,16465,2,35167 km
Elantra,HYUNDAI,2007,12287,1.6,1678000 km
Tucson,HYUNDAI,2017,40556,1.7,82430 km
CR-Z,HONDA,2013,14113,1.5,90000 km
H1,HYUNDAI,2014,34406,2.5,119884 km
Sonata,HYUNDAI,2018,52959,2,48605 km
Tucson,HYUNDAI,2012,17747,2,225117 km
Juke,NISSAN,2012,470,1.6,136712 km
Elantra,HYUNDAI,2013,17249,1.8,92800 km
GX 460,LEXUS,2010,39829,4.6,155821 km
CLK 200,MERCEDES-BENZ,2000,7840,2,145000 km
Elantra,HYUNDAI,2007,8320,1.6,149691 km
FIT,HONDA,2012,11917,1.3,13000 km
GL 350 Bluetec,MERCEDES-BENZ,2011,48610,3.0 Turbo,147500 km
Sonata,HYUNDAI,2010,7119,2,81248 km
Micra,NISSAN,2003,4000,1.2,12323 km
Actyon,SSANGYONG,2011,20005,2,166850 km
A 160,MERCEDES-BENZ,1998,5331,1.6,204000 km
Transit,FORD,2000,13000,2.4 Turbo,250000 km
Captiva,CHEVROLET,2014,24283,2,146644 km
Elantra,HYUNDAI,2011,17484,1.6,103453 km
Teana,NISSAN,2003,7213,2.3,95000 km
E 320,MERCEDES-BENZ,2000,3800,3.2,1000 km
Golf,VOLKSWAGEN,2010,15681,2.0 Turbo,1000 km
Note,NISSAN,2008,6476,1.5,999999999 km
Volt,CHEVROLET,2013,4077,1.4,196590 km
Sonata,HYUNDAI,2012,1176,2.4,0 km
Aqua,TOYOTA,2012,157,1.5 Turbo,128000 km
Elantra,HYUNDAI,2013,5018,1.8,294034 km
535,BMW,2015,47042,3.5 Turbo,59200 km
C-MAX,FORD,2013,15053,2,173000 km
Navara,NISSAN,2008,22580,2.5 Turbo,166000 km
Accent,HYUNDAI,2011,13172,1.6,109000 km
500 Abarth,FIAT,2015,25089,1.4 Turbo,28000 km
Sonata,HYUNDAI,2012,100,2.4,86000 km
GX 470,LEXUS,2013,6272,4.6,202651 km
Elantra,HYUNDAI,2010,16894,1.6,71202 km
Tucson,HYUNDAI,2015,30151,2,143278 km
Santa FE,HYUNDAI,2016,53154,2,94259 km
C 240,MERCEDES-BENZ,1997,7840,2.4,280000 km
Q5,AUDI,2016,941,3,448982 km
Optima,KIA,2012,15800,2.4,97000 km
Tiida,NISSAN,2009,1568,1.5,95000 km
RIO,KIA,2012,220,1.6,199288 km
Mirage,MITSUBISHI,2018,1411,1.2,7430 km
Actyon,SSANGYONG,2016,30564,1.6,153404 km
550,BMW,2012,21953,4.4,0 km
S 550,MERCEDES-BENZ,2016,88595,4.6,27573 km
RIO,KIA,2013,1960,1.6,53386 km
E 350,MERCEDES-BENZ,2011,16621,3.5,119379 km
Transit,FORD,2010,21009,2.4 Turbo,198000 km
Camry,TOYOTA,2012,24305,3.5,246400 km
A6,AUDI,1998,4704,2.4,0 km
Sonata,HYUNDAI,2016,15681,2,317106 km
GX 460,LEXUS,2010,15681,4.6,275240 km
Malibu,CHEVROLET,2017,157,1.5,0 km
Crosstrek,SUBARU,2019,549,2,7971 km
RX 450,LEXUS,2010,12231,3.5,413474 km
CT 200h,LEXUS,2012,1490,1.8,174106 km
GX 460,LEXUS,2010,15681,4.6,275240 km
Sonata,HYUNDAI,2015,10663,2,310886 km
Prius,TOYOTA,2012,20385,1.8,190000 km
Veloster,HYUNDAI,2011,17876,1.6,55000 km
Spark,CHEVROLET,2014,627,1.2,131312 km
Jetta se,VOLKSWAGEN,2014,18817,1.8 Turbo,72000 km
Accent,HYUNDAI,2019,10036,1.6,4621 km
Camry,TOYOTA,2010,15994,2.5,121000 km
4Runner,TOYOTA,2016,64290,4,48000 km
Land Cruiser Prado,TOYOTA,2016,199,3.0 Turbo,85000 km
Tucson,HYUNDAI,2016,36730,1.7,113006 km
1300,MAZDA,2012,157,2,301866 km
GX 460,LEXUS,2016,81539,4.6,155976 km
Malibu,CHEVROLET,2016,25744,2,113509 km
Sonata,HYUNDAI,2014,11604,2,312690 km
Sonata,HYUNDAI,2017,50018,2,19080 km
Elantra,HYUNDAI,2014,3763,1.8,110685 km
Demio,MAZDA,2002,5959,1.5,1000 km
Elantra,HYUNDAI,2016,627,1.8,72629 km
G 63 AMG,MERCEDES-BENZ,2016,31675,5.5,39325 km
Optima,KIA,2014,14113,2,60704 km
E 350,MERCEDES-BENZ,2014,1882,3.5,146395 km
E 200,MERCEDES-BENZ,1999,10349,2,280000 km
Kyron,SSANGYONG,2008,5645,2,76800 km
Camry,TOYOTA,2018,18817,2.5,35058 km
C 220,MERCEDES-BENZ,2008,23521,2.2 Turbo,177000 km
Volt,CHEVROLET,2011,2666,1.4,288778 km
CT 200h,LEXUS,2015,470,1.8,115347 km
Tucson,HYUNDAI,2010,22649,2,151281 km
H1,HYUNDAI,2010,13015,2.5,73401 km
Sonata,HYUNDAI,2020,66485,2,13460 km
E 250,MERCEDES-BENZ,2013,51746,2.1,45432 km
Colt,MITSUBISHI,2002,7527,1.5,187000 km
Elantra,HYUNDAI,2017,25089,2,23000 km
Prius,TOYOTA,2012,21953,1.8,24000 km
Combo,OPEL,2008,9408,1.4,233000 km
Prius,TOYOTA,2014,21953,1.8,87000 km
Vitz,TOYOTA,2011,8624,0.1,0 km
Aveo,CHEVROLET,2014,17346,1.6,74422 km
Lacetti,CHEVROLET,2009,8311,1.6,52472 km
Legacy,SUBARU,2005,7840,2.0 Turbo,192000 km
GL 450,MERCEDES-BENZ,2012,35752,4.7,155313 km
Cruze,CHEVROLET,2016,25089,1.4 Turbo,29000 km
FIT,HONDA,2015,24512,1.5,111649 km
RX 450,LEXUS,2010,5018,3.5,167222 km
Escape,FORD,2009,220,2.5,193614 km
E 350,MERCEDES-BENZ,2011,13642,3.5,64496 km
FIT,HONDA,2014,10663,1.5,115000 km
Legacy Outback,SUBARU,1999,6272,2.5,187000 km
Highlander,TOYOTA,2012,9565,3.5,285186 km
Sonata,HYUNDAI,2014,10036,2,362454 km
C4,CITROEN,2007,12544,1.6,210000 km
Step Wagon,HONDA,2005,11917,2.4,136800 km
X-Trail,NISSAN,2005,12858,2,180000 km
Camry SE,TOYOTA,2015,26343,2.5,47128 km
H1,HYUNDAI,2010,19757,2.5,115028 km
Sonata,HYUNDAI,2014,8467,2,636908 km
LX 570,LEXUS,2018,260296,5.7 Turbo,17700 km
Camry,TOYOTA,2013,392,2.5,232032 km
Jetta,VOLKSWAGEN,2016,23207,1.8 Turbo,27000 km
X5,BMW,2012,30420,3.0 Turbo,198211 km
Fusion,FORD,2010,392,2.5,46837 km
E 270,MERCEDES-BENZ,2003,13485,2.7,245000 km
Astra,OPEL,2002,4300,1.6,272109 km
Prius C,TOYOTA,2012,19130,1.5,254400 km
GX 470,LEXUS,2008,862,4.7,263190 km
Altima,NISSAN,2017,10506,2.5,45022 km
FIT,HONDA,2003,40,1.3,140000 km
Sonata,HYUNDAI,2015,9722,2,574647 km
Elantra,HYUNDAI,2016,549,1.8,47422 km
Grand Cherokee,JEEP,2004,12074,4,151000 km
Prius,TOYOTA,2016,21953,1.8,48738 km
FIT,HONDA,2005,30,1.3,0 km
Sonata,HYUNDAI,2018,69502,2,24000 km
Sonata,HYUNDAI,2014,10036,2,486631 km
Camry,TOYOTA,2014,100,2.5 Turbo,4000 km
X6,BMW,2011,28600,4.4,1000 km
Sienna,TOYOTA,2011,3607,3.5,181722 km
FIT Modulo,HONDA,2011,10349,1.3,125000 km
Sonata,HYUNDAI,2016,15994,2.4,93000 km
Highlander,TOYOTA,2012,9879,3.5,157211 km
Santa FE,HYUNDAI,2016,42052,2,122184 km
RAM,DODGE,2011,251,5.7,0 km
Prius C,TOYOTA,2013,16621,1.5,103000 km
H1,HYUNDAI,2011,22266,2.5,120805 km
ML 350,MERCEDES-BENZ,2008,282,3,213998 km
Sonata,HYUNDAI,2011,18817,2.0 Turbo,180800 km
Golf,VOLKSWAGEN,2002,5645,2,150000 km
Elantra,HYUNDAI,2010,12880,1.6,97132 km
Elantra,HYUNDAI,2011,19384,1.6,124892 km
X5,BMW,2014,7213,3,0 km
E 350,MERCEDES-BENZ,2008,706,3.5,122874 km
Jetta,VOLKSWAGEN,2014,13799,1.8 Turbo,85000 km
X5,BMW,2008,25089,3.0 Turbo,213000 km
Fiesta,FORD,2013,12858,1.6,86000 km
Elantra LIMITED,HYUNDAI,2015,20071,1.8,57000 km
Mazda 6,MAZDA,2005,6586,3,198000 km
Captiva,CHEVROLET,2015,23414,2.2,60000 km
Cruze,CHEVROLET,2014,11895,2,60550 km
Escape,FORD,2008,1333,0.4,349288 km
Giulietta,ALFA ROMEO,2013,18817,1.4 Turbo,85000 km
Orlando,CHEVROLET,2015,13642,2,35762 km
Astra H,OPEL,2009,11917,1.7,140000 km
GL 320,MERCEDES-BENZ,2008,36692,3.0 Turbo,172000 km
X5,BMW,2011,10192,3,332243 km
Camry,TOYOTA,2014,11133,2.5,179381 km
Sonata,HYUNDAI,2015,10663,2,280622 km
E 350,MERCEDES-BENZ,2014,11133,3.5,238546 km
REXTON,SSANGYONG,2013,33823,2,146130 km
Santa FE,HYUNDAI,2016,55638,2,372623 km
IS 350,LEXUS,2010,25716,3.5,192000 km
Tiida,NISSAN,2006,30,1.5,0 km
FIT,HONDA,2013,16719,1.5,154400 km
Astra,OPEL,1999,4700,1.6,145000 km
Focus,FORD,2014,13172,2,134400 km
2106,VAZ,1991,3500,1.3,0 km
FIT,HONDA,2011,12544,1.3,140000 km
Tucson,HYUNDAI,2017,45210,1.7,123833 km
318,BMW,2006,13485,2,237000 km
Ipsum,TOYOTA,2002,9408,2.4,200000 km
Captiva,CHEVROLET,2007,7527,2,77588 km
E 320,MERCEDES-BENZ,2002,17562,2.6,160000 km
Prius,TOYOTA,2011,21012,1.8,268800 km
Murano,NISSAN,2005,20385,3.5,155200 km
E 220,MERCEDES-BENZ,1997,5300,2,312217 km
REXTON,SSANGYONG,2015,49751,2,62575 km
Astra,OPEL,1999,4861,1.2,199090 km
Vito,MERCEDES-BENZ,2005,14113,2.2 Turbo,180000 km
H1,HYUNDAI,2016,36235,2.5,109629 km
Insight,HONDA,2011,706,1.3,288704 km
Prius,TOYOTA,2017,16308,1.8,45488 km
Volt,CHEVROLET,2012,20071,1.4,280000 km
LS 460,LEXUS,2011,43360,4.6,89867 km
GX 460,LEXUS,2010,39829,4.6,155821 km
Demio,MAZDA,2003,5331,1.5,0 km
Tiguan,VOLKSWAGEN,2014,27598,2.0 Turbo,113000 km
H1,HYUNDAI,2014,36899,2.5,105461 km
Aqua,TOYOTA,2019,28532,1.5,25000 km
Juke,NISSAN,2015,5018,1.6,111402 km
Accord,HONDA,2016,3058,2.4,90043 km
Elgrand,NISSAN,2004,15681,3.5,131000 km
Santa FE,HYUNDAI,2001,3000,2.4,2342 km
Elysion,HONDA,2006,15681,2.4,120500 km
Veloster,HYUNDAI,2013,19444,1.6 Turbo,73600 km
FIT,HONDA,2014,21953,1.5,78400 km
Cruze,CHEVROLET,2017,314,1.4,89896 km
Sonata,HYUNDAI,2015,14279,2,176247 km
Santa FE,HYUNDAI,2016,51075,2,106084 km
Sonata,HYUNDAI,2012,4234,2.4,208627 km
FIT,HONDA,2005,8624,1.5,190000 km
528,BMW,2012,36065,2.0 Turbo,184000 km
Korando,SSANGYONG,2012,24709,2,86651 km
Prius,TOYOTA,2012,20385,1.8,193600 km
Tacoma,TOYOTA,2013,27284,2.7,397915 km
GLA 250,MERCEDES-BENZ,2016,8311,2,109555 km
E 350,MERCEDES-BENZ,2011,157,3.5,377379 km
Actyon,SSANGYONG,2016,37611,1.6,76553 km
REXTON,SSANGYONG,2011,20297,2,110000 km
GS 450,LEXUS,2013,62722,3.5,69500 km
C 230,MERCEDES-BENZ,2006,13799,2.5,218000 km
Captiva,CHEVROLET,2007,14740,2,54000 km
Prius,TOYOTA,2010,13328,1.8,236000 km
Camry,TOYOTA,2014,5488,2.5,109798 km
626,MAZDA,1994,2600,2,280000 km
Sonata,HYUNDAI,2010,15257,2,147079 km
Prius,TOYOTA,2015,31361,1.8,268800 km
Transit,FORD,1998,11604,2.5,180000 km
E 270,MERCEDES-BENZ,1999,9565,2.7 Turbo,370000 km
C 300,MERCEDES-BENZ,2013,392,3.5,51875 km
Demio,MAZDA,2002,6272,1.5,165000 km
Transit,FORD,2005,32929,2.0 Turbo,150000 km
Optima,KIA,2017,23521,2.4,30400 km
Sonata,HYUNDAI,2016,48547,2,43000 km
Camry,TOYOTA,2014,392,2.5,312786 km
FIT,HONDA,2001,8467,1.3,150346 km
A8,AUDI,2014,37633,3,68006 km
Civic,HONDA,2014,2274,1.8,127669 km
318,BMW,2002,10349,2,145000 km
CLA 250,MERCEDES-BENZ,2016,392,2,55718 km
Prius,TOYOTA,2014,4234,1.8,208702 km
Santa FE,HYUNDAI,2014,45542,2,55112 km
Micra,NISSAN,1996,2200,1.1,220000 km
REXTON,SSANGYONG,2011,19278,2,130663 km
Cruze,CHEVROLET,2018,3,1.4,61000 km
Volt,CHEVROLET,2012,23521,1.4,188000 km
Polo,VOLKSWAGEN,2015,12544,1.6,270000 km
Passat,VOLKSWAGEN,1998,5331,1.9 Turbo,0 km
FIT,HONDA,2018,22900,1.3,2635 km
Tucson,HYUNDAI,2014,32578,2,131084 km
Camry,TOYOTA,2015,6429,2.5,115858 km
Camry,TOYOTA,2018,14583,2.5,29682 km
Orlando,CHEVROLET,2015,24283,2,109497 km
Optima,KIA,2016,19444,2,417767 km
REXTON,SSANGYONG,2013,26108,2,111307 km
Sonata,HYUNDAI,2015,12544,2,536212 km
Avella,KIA,2017,4391,1.6,103470 km
Prius,TOYOTA,2007,10036,1.5,257000 km
Compass,JEEP,2010,27294,2.4,81256 km
C 240,MERCEDES-BENZ,2001,11604,2.2 Turbo,275000 km
Jetta,VOLKSWAGEN,2013,22894,2.0 Turbo,135000 km
VOXY,TOYOTA,2003,7527,2,250000 km
Cruze,CHEVROLET,2014,470,1.4,100685 km
Elantra,HYUNDAI,2014,18817,2,110000 km
Sentra,NISSAN,2017,627,1.8,0 km
Prius,TOYOTA,2014,188,1.8,187334 km
335,BMW,2008,25089,3.0 Turbo,157000 km
Focus,FORD,2014,14740,2,90000 km
FIT,HONDA,2006,45,1.3,127000 km
Transit,FORD,1996,13799,2.5,210000 km
Highlander LIMITED,TOYOTA,2008,23521,3.3,190000 km
Camry,TOYOTA,2017,14269,2.5,48035 km
A6,AUDI,2007,15681,3.2,304000 km
Escape,FORD,2013,1490,2,131272 km
Elantra,HYUNDAI,2014,25591,1.6,140000 km
REXTON,SSANGYONG,2015,47076,2,118366 km
FIT,HONDA,2004,30,1.3,150000 km
Countryman,MINI,2012,18503,1.6 Turbo,75000 km
FIT,HONDA,2010,8154,1.3,0 km
Captiva,CHEVROLET,2015,41400,2.2,70003 km
Caravan,DODGE,2006,13485,3.3,135000 km
CR-Z,HONDA,2010,11917,1.5,200000 km
E 350,MERCEDES-BENZ,2009,21326,3.5,111111 km
Tundra,TOYOTA,2013,23207,5.7,357933 km
Yaris,TOYOTA,2017,3058,1.5,102322 km
Prius,TOYOTA,2006,5018,1.5,300000 km
FIT,HONDA,2014,13172,1.5,60000 km
Cruze,CHEVROLET,2009,6125,1.6,78712 km
E 350,MERCEDES-BENZ,2014,32302,5.5,101424 km
E 220,MERCEDES-BENZ,2003,9722,2.2 Turbo,215000 km
RX 450 HYBRID,LEXUS,2010,39201,3.5,148250 km
GLA 250,MERCEDES-BENZ,2015,188,2,99542 km
Aqua,TOYOTA,2017,35808,1.5,37490 km
GLC 300,MERCEDES-BENZ,2018,65545,2.0 Turbo,12000 km
Camry,TOYOTA,2018,470,2.5,31290 km
Elantra GT,HYUNDAI,2014,19444,2,105000 km
Micra,NISSAN,1997,3700,1,111111 km
Transit,FORD,1992,9000,2.5 Turbo,111111 km
Santa FE,HYUNDAI,2019,73310,2,2730 km
Santa FE,HYUNDAI,2015,34340,2,31251 km
Aveo,CHEVROLET,2014,19071,1.6,59295 km
Tucson,HYUNDAI,2017,50861,1.7,69527 km
Airtrek,MITSUBISHI,2003,7840,2.0 Turbo,14500 km
ML 350,MERCEDES-BENZ,2008,3763,3.5,366869 km
E 350,MERCEDES-BENZ,2008,4547,3.5,494317 km
C-MAX,FORD,2014,19444,2,50100 km
C-MAX,FORD,2017,27284,2,77254 km
S 550,MERCEDES-BENZ,2014,48610,4.6,98466 km
Astra CNG,OPEL,2003,6272,1.6,162000 km
GX 460,LEXUS,2017,110,4.6,0 km
Santa FE,HYUNDAI,2013,33243,2,218280 km
Prius,TOYOTA,2014,14113,1.8,339710 km
Lacetti,DAEWOO,2010,5739,1.8,86382 km
530,BMW,1995,7840,3,100000 km
X5 4.8is,BMW,2005,31361,4.8,147200 km
GX 470,LEXUS,2013,1490,4.6,154115 km
Actyon,SSANGYONG,2017,40926,1.6,54405 km
Sonata,HYUNDAI,2010,6272,2,648045 km
Prius,TOYOTA,2011,5959,1.8,489584 km
Pajero,MITSUBISHI,1992,7840,3,555555 km
Prius C ჰიბრიდი,TOYOTA,2013,19444,1.5,11000 km
216,ROVER,1997,2500,1.6,162000 km
Elantra,HYUNDAI,2011,20005,1.6,35951 km
Tundra,TOYOTA,2014,188,5.7,101928 km
Prius,TOYOTA,2013,17249,1.8,6500 km
Tacoma,TOYOTA,2014,6586,4,0 km
Korando,SSANGYONG,2013,22947,2,92690 km
Volt,CHEVROLET,2011,2666,1.4,288778 km
Cayenne,PORSCHE,2014,862,3.6,56886 km
CT 200h,LEXUS,2011,706,1.8,116869 km
Micra,NISSAN,2001,3500,1,200000 km
Sonata,HYUNDAI,2016,15681,2,317106 km
X6,BMW,2009,35438,4.4 Turbo,960000 km
Prius V,TOYOTA,2012,13500,1.8,51000 km
Jetta,VOLKSWAGEN,2014,5331,2,16856 km
RAV 4,TOYOTA,2012,5959,2.5,159901 km
Grand Cherokee,JEEP,2008,13485,4.7,201567 km
Camry,TOYOTA,2012,90,2.5,0 km
Camry,TOYOTA,2015,34497,2.5,11500 km
ML 350,MERCEDES-BENZ,2012,26657,3,271701 km
H1,HYUNDAI,2016,44517,2.5,124708 km
Camry SPORT,TOYOTA,2017,13172,2.5,60000 km
Escape,FORD,2014,30417,1.6,70165 km
328,BMW,2005,15681,3,0 km
Pajero,MITSUBISHI,1998,10100,3,0 km
REXTON,SSANGYONG,2009,9252,2.7,56629 km
ML 350 sport,MERCEDES-BENZ,2010,25089,3.5,126000 km
Elantra,HYUNDAI,2010,11563,1.6,130814 km
Genesis,HYUNDAI,2009,25399,3.8,142380 km
Escape,FORD,2008,188,0.4,209843 km
Civic,HONDA,2008,14113,1.3,140000 km
X5,BMW,2012,220,3,273962 km
Tacoma,TOYOTA,2012,627,2.7,394069 km
Camry,TOYOTA,2014,11133,2.5,179381 km
416,ROVER,1996,1800,1.6,123333 km
Fiesta,FORD,2013,14113,1.6,102581 km
Optima,KIA,2012,22580,2.0 Turbo,115000 km
Traverse,CHEVROLET,2016,10506,3.6,91822 km
Transit,FORD,2009,21950,2.4 Turbo,133000 km
Pajero,MITSUBISHI,2010,36065,3.8,70000 km
ML 350,MERCEDES-BENZ,2012,26657,3,271701 km
Elantra,HYUNDAI,2015,25889,1.6,103891 km
Range Rover,LAND ROVER,2007,25402,2.7 Turbo,197000 km
Volt,CHEVROLET,2017,26030,1.5,52062 km
Actyon,SSANGYONG,2010,14966,2,201935 km
Terios,DAIHATSU,2008,10349,0.7 Turbo,67000 km
Insight,HONDA,2014,2274,1.3,149970 km
Santa FE,HYUNDAI,2016,41632,2,150415 km
535,BMW,2010,37006,3.0 Turbo,102033 km
Lacetti,DAEWOO,2009,5883,1.6,117685 km
Caliber,DODGE,2009,14740,2,122000 km
Cruze,CHEVROLET,2017,2038,1.4,71498 km
Outlander,MITSUBISHI,2009,20385,3,0 km
Tacoma,TOYOTA,2014,3293,2.7,64994 km
Noah,TOYOTA,2004,11290,2,170000 km
Camry,TOYOTA,2014,5488,2.5,109798 km
Mazda 6 Grand touring,MAZDA,2013,16308,2.5,125000 km
Vitz,TOYOTA,2006,11604,1.3,170032 km
Jetta,VOLKSWAGEN,2014,17249,1.4 Turbo,150000 km
Sonata,HYUNDAI,2017,49751,2,43178 km
X4,BMW,2016,73698,2.0 Turbo,88000 km
Camry,TOYOTA,2014,1098,2.5,398069 km
Elantra,HYUNDAI,2010,15100,1.6,98578 km
Prius C,TOYOTA,2014,20385,1.5,102880 km
Tucson,HYUNDAI,2014,25591,2,251201 km
Camry,TOYOTA,2014,21796,2.5,77803 km
FIT,HONDA,2011,7840,1.3,112000 km
Optima,KIA,2016,25089,2.4,116800 km
Camry,TOYOTA,2016,23521,2.5,123000 km
Camry,TOYOTA,2017,392,2.5,61939 km
Accord,HONDA,2016,7683,2.4,154854 km
Vito,MERCEDES-BENZ,2008,26657,2.2 Turbo,269000 km
IS 250,LEXUS,2015,5018,2.5,70154 km
Santa FE,HYUNDAI,2015,48403,2,110000 km
Land Cruiser 11,TOYOTA,2007,52373,4.7,174300 km
GX 460,LEXUS,2017,470,4.6,69918 km
318,BMW,2005,9408,2,110000 km
GX 470,LEXUS,2015,69935,4.6,273493 km
E 200,MERCEDES-BENZ,2010,32929,2.0 Turbo,210000 km
Elantra,HYUNDAI,2016,23207,1.6,33017 km
GX 460,LEXUS,2012,52059,4.6,229334 km
E 320,MERCEDES-BENZ,1997,6000,3.2,258000 km
Focus,FORD,2013,14113,2,116800 km
Sorento EX,KIA,2013,25873,2.4,107150 km
Elantra LIMITED,HYUNDAI,2012,16935,1.8,97000 km
Camry SPORT PAKET,TOYOTA,2016,33870,2.5,19000 km
Elantra,HYUNDAI,2012,19121,1.6,103490 km
Highlander,TOYOTA,2008,470,3.3,182024 km
Actyon,SSANGYONG,2010,15530,2,146664 km
Optima,KIA,2016,26500,1.7,30157 km
GL 550,MERCEDES-BENZ,2009,42651,5.5 Turbo,214400 km
Elantra,HYUNDAI,2011,18240,1.6,154900 km
Juke,NISSAN,2016,2117,1.6,181997 km
Tourneo Connect,FORD,2003,8154,1.8 Turbo,0 km
X5,BMW,2014,16621,3,110715 km
Golf,VOLKSWAGEN,1996,3000,1.6,160000 km
E 350,MERCEDES-BENZ,2008,2195,3.5,290922 km
Fiesta,FORD,2015,470,1.6,111374 km
Elysion,HONDA,2011,13799,2,153000 km
Range Rover Evoque რესტა,LAND ROVER,2016,78403,2.0 Turbo,59830 km
SLK 32 AMG,MERCEDES-BENZ,2008,3136,1.5,1000 km
Sonata,HYUNDAI,2016,13172,2,478704 km
E 350,MERCEDES-BENZ,2010,29793,3.5,18000 km
E 350,MERCEDES-BENZ,2014,29793,3.5,219030 km
Camry,TOYOTA,2014,784,2.5,102397 km
XF,JAGUAR,2010,49143,5,99210 km
C 32 AMG,MERCEDES-BENZ,2001,15681,3.2 Turbo,94000 km
Transit,FORD,2008,14740,2.4,183000 km
Captiva,CHEVROLET,2013,32973,2.2,93170 km
Actyon,SSANGYONG,2016,42667,1.6,23767 km
Highlander,TOYOTA,2009,1019,3.3,318358 km
Prius,TOYOTA,2010,706,1.8,73402 km
CT 200h,LEXUS,2012,23050,1.8,172346 km
ML 350,MERCEDES-BENZ,2011,3763,3,290501 km
Actyon,SSANGYONG,2017,42102,1.6,50750 km
Prius,TOYOTA,2011,18189,1.8,204800 km
Prius,TOYOTA,2013,23207,1.8,69000 km
Cruze,CHEVROLET,2014,10976,1.4 Turbo,2000 km
Teana,NISSAN,2006,9408,2.3,155000 km
H1,HYUNDAI,2009,15329,2.5,114985 km
FIT,HONDA,2017,39615,1.5,49000 km
Prius,TOYOTA,2014,941,1.8,270410 km
E 300,MERCEDES-BENZ,2017,56136,2,50963 km
Sonata,HYUNDAI,2010,15257,2,205972 km
Camry,TOYOTA,2014,80,2.5,211200 km
Civic,HONDA,2010,5645,1.8,88230 km
A3,AUDI,2005,16621,2.0 Turbo,22200 km
Sonata,HYUNDAI,2014,8386,2,587027 km
Prius,TOYOTA,2012,20,1.6,120000 km
Transit,FORD,2007,20385,2.4 Turbo,189000 km
Prius,TOYOTA,2010,11290,1.8,165779 km
Aqua,TOYOTA,2013,10036,1.5,105200 km
REXTON,SSANGYONG,2011,22357,2,190000 km
Orlando,CHEVROLET,2012,19416,2,139633 km
X5,BMW,2011,22266,3.0 Turbo,208000 km
GX 460,LEXUS,2015,5018,4.6,188078 km
328,BMW,2013,21953,2.0 Turbo,201360 km
Genesis,HYUNDAI,2009,15608,2,52749 km
Tucson,HYUNDAI,2016,45210,1.7,100184 km
31514 UAZ,UAZ,2000,6272,2.5,50000 km
H1,HYUNDAI,2014,23436,2.5,173490 km
Combo,OPEL,2005,8781,1.6,167000 km
X5,BMW,2009,8938,4.8,153515 km
Golf 3,VOLKSWAGEN,1996,3300,1.7 Turbo,0 km
Tucson,HYUNDAI,2019,22580,2,31200 km
Corolla,TOYOTA,2018,6429,1.8,78608 km
528,BMW,1999,8467,2.8,220000 km
Elantra,HYUNDAI,2012,12858,1.8,87000 km
Santa FE,HYUNDAI,2020,97235,2,43865 km
RX 450,LEXUS,2011,188,3.5,101816 km
Transit,FORD,1990,5000,2.5,100000 km
